,smiles,MolWt
115,CC(=[N+]=[N-])C1=CC=CC=C1,132.16599999999997
116,C1=CC=C(C=C1)CC=[N+]=[N-],132.16599999999997
117,CC(C1=CC=CC=C1)[N+]#C,132.18599999999998
118,CC=C(C)C1=CC=CC=C1,132.20599999999996
119,CC(=CC1=CC=CC=C1)C,132.20599999999996
120,CCC(=C)C1=CC=CC=C1,132.20599999999996
121,C=CCCC1=CC=CC=C1,132.20599999999996
122,CC(C=C)C1=CC=CC=C1,132.206
123,CCC=CC1=CC=CC=C1,132.206
124,CC1CC1C2=CC=CC=C2,132.206
125,CC=CCC1=CC=CC=C1,132.206
126,CC(=C)CC1=CC=CC=C1,132.206
127,C1CC(C1)C2=CC=CC=C2,132.206
128,C1CC1CC2=CC=CC=C2,132.206
129,CC1(CC1)C2=CC=CC=C2,132.206
130,B(C1=CC=CC=C1)([N+]#N)O,132.93900000000002
131,B(CC)(C1=CC=CC=C1)N,133.00299999999993
132,C1=CC=C(C=C1)CN=C=O,133.14999999999998
133,C=C(C1=CC=CC=C1)N=O,133.14999999999998
134,C1=CC=C(C=C1)C=CN=O,133.14999999999998
135,C1=CC=C(C=C1)CN=[N+]=[N-],133.154
136,C1=CC=C(C=C1)OC=[N+]=[N-],134.13799999999998
137,C1=CC=C(C=C1)C#CCF,134.15299999999996
138,CN(C1=CC=CC=C1)[N+]#N,134.16199999999998
139,CC1C(O1)C2=CC=CC=C2,134.17799999999997
140,CC1(CO1)C2=CC=CC=C2,134.17799999999997
141,COC(=C)C1=CC=CC=C1,134.17799999999997
142,CC(C=O)C1=CC=CC=C1,134.17799999999997
143,C1C(O1)CC2=CC=CC=C2,134.17799999999997
144,CC=COC1=CC=CC=C1,134.17799999999997
145,C=CCOC1=CC=CC=C1,134.17799999999997
146,CC(=C)OC1=CC=CC=C1,134.17799999999997
147,C=COCC1=CC=CC=C1,134.17799999999997
148,COC=CC1=CC=CC=C1,134.178
149,CC(=CO)C1=CC=CC=C1,134.178
150,C#CSC1=CC=CC=C1,134.20299999999997
151,CCC(C)C1=CC=CC=C1,134.22199999999998
152,CCCCC1=CC=CC=C1,134.22199999999998
153,CC(C)(C)C1=CC=CC=C1,134.22199999999998
154,CC(C)CC1=CC=CC=C1,134.22199999999998
155,[C-]#[N+]C(C1=CC=CC=C1)F,135.14099999999996
156,C1=CC(=CC=[C]1)CC(=O)O,135.142
157,C[Al](C1=CC=CC=C1)N,135.14599999999993
158,CC(C1=CC=CC=C1)N=O,135.16599999999997
159,C1=CC=C(C=C1)CC(=O)N,135.16599999999997
160,C1=CC=C(C=C1)CCN=O,135.166
161,C1=CC=C(C=C1)C=NNN,135.16999999999996
162,C1=CC=C(C=C1)N=C=S,135.19099999999997
163,C1=CC=C(C=C1)SC#N,135.19099999999997
164,CC(CC1=CC=CC=C1)N,135.20999999999995
165,CNCCC1=CC=CC=C1,135.20999999999998
166,CN(C)CC1=CC=CC=C1,135.20999999999998
167,CC(C)NC1=CC=CC=C1,135.20999999999998
168,C[Si](C)C1=CC=CC=C1,135.26199999999997
169,C1=CC=C(C=C1)C(=O)CO,136.14999999999998
170,CC(=O)OC1=CC=CC=C1,136.14999999999998
171,C1=CC=C(C=C1)CC(=O)O,136.14999999999998
172,CN=[N+](C1=CC=CC=C1)[O-],136.15399999999997
173,C1=CC=C(C=C1)C(=NO)N,136.15399999999997
174,C1CC1(C2=CC=CC=C2)F,136.16899999999995
175,C1=CC=C(C=C1)C=CCF,136.16899999999995
176,C1=CC=C(C=C1)CC=CF,136.16899999999995
177,CC=C(C1=CC=CC=C1)F,136.16899999999995
178,C=CC(C1=CC=CC=C1)F,136.16899999999995
179,CC(=CC1=CC=CC=C1)F,136.16899999999995
180,C1C(C1F)C2=CC=CC=C2,136.16899999999998
181,CC(=CF)C1=CC=CC=C1,136.16899999999998
182,CC(C1=CC=CC=C1)OC,136.19399999999996
183,CC(C)(C1=CC=CC=C1)O,136.19399999999996
184,CCCOC1=CC=CC=C1,136.19399999999996
185,CC(C)OC1=CC=CC=C1,136.194
186,CCOCC1=CC=CC=C1,136.194
187,COCCC1=CC=CC=C1,136.194
188,C1=CC=C(C=C1)CCCO,136.194
189,C1=CC=C(C=C1)CCC[NH3+],136.218
190,C=CSC1=CC=CC=C1,136.21899999999997
191,C1=CC=C(C=C1)C#CCl,136.58099999999996
192,C1=CC=C(C=C1)C[N+](=O)[O-],137.13799999999998
193,CC(C1=CC=CC=C1)O[O-],137.15799999999996
194,CN[N+](=O)C1=CC=CC=C1,137.16199999999998
195,C1=CC=C(C=C1)OCCN,137.18199999999996
196,C[N+](C)(C1=CC=CC=C1)[O-],137.18199999999996
197,C1=CC=C(C=C1)CCNO,137.182
198,CN(C1=CC=CC=C1)NN,137.18599999999995
199,CNNNC1=CC=CC=C1,137.18599999999998
200,C1=CC=C(C=C1)C(=S)N,137.20699999999997
201,C[SiH](C1=CC=CC=C1)N,137.25799999999995
202,C1=CC=C(C=C1)C(=O)CF,138.14099999999996
203,CC(C1=CC=CC=C1)OO,138.16599999999997
204,COCOC1=CC=CC=C1,138.16599999999997
205,CCOOC1=CC=CC=C1,138.16599999999997
206,C1=CC=C(C=C1)OCCO,138.166
207,C1=CC=C(C=C1)NN(N)N,138.17399999999998
208,C1=CC=C(C=C1)NNNN,138.17399999999998
209,CC(CC1=CC=CC=C1)F,138.18499999999995
210,CC(C)(C1=CC=CC=C1)F,138.18499999999995
211,CCC(C1=CC=CC=C1)F,138.18499999999995
212,CC(CF)C1=CC=CC=C1,138.18499999999997
213,C1=CC=C(C=C1)CCCF,138.18499999999997
214,C1=CC=C(C=C1)C(=O)S,138.19099999999997
215,CSCC1=CC=CC=C1,138.23499999999999
216,CCSC1=CC=CC=C1,138.23499999999999
217,C=C(C1=CC=CC=C1)Cl,138.59699999999998
218,C1=CC=C(C=C1)C=CCl,138.59699999999998
219,C[P+](=O)C1=CC=CC=C1,139.11399999999998
220,CP(C1=CC=CC=C1)N,139.13799999999995
221,C1=CC=C(C=C1)N=S=O,139.17899999999997
222,C=S(C1=CC=CC=C1)N,139.22299999999996
223,C[Si](C1=CC=CC=C1)F,139.22499999999994
224,C[S+](C)C1=CC=CC=C1,139.24299999999997
225,C1=CC=C(C=C1)C=C(F)F,140.13199999999998
226,C1=CC=C(C=C1)C(=CF)F,140.13199999999998
227,COC(C1=CC=CC=C1)F,140.15699999999995
228,C1=CC=C(C=C1)OCCF,140.15699999999998
229,C#CCC#CC1=CC=CC=C1,140.18499999999997
230,C#CC#CCC1=CC=CC=C1,140.18499999999997
231,C=C=CC#CC1=CC=CC=C1,140.18499999999997
232,CC#CC#CC1=CC=CC=C1,140.18499999999997
233,COSC1=CC=CC=C1,140.20699999999997
234,CS(=O)C1=CC=CC=C1,140.207
235,C1=CC=C(C=C1)S(=N)N,140.21099999999996
236,CC(C1=CC=CC=C1)Cl,140.61299999999997
237,C1=CC=C(C=C1)CCCl,140.613
238,C1=CC=C(C=C1)[Si]Cl,140.64499999999998
239,C1=CC=C(C=C1)P(=O)O,142.094
240,C1=CC=C(C=C1)CC(F)F,142.14799999999997
241,C1=CC=C(C=C1)C(CF)F,142.14799999999997
242,CC(C1=CC=CC=C1)(F)F,142.14799999999997
243,C1=CC=C(C=C1)S(=O)O,142.17899999999997
244,C1=CC=C(C=C1)SCF,142.19799999999998
245,C1C=CC(=C1)C2=CC=CC=C2,142.20099999999996
246,C=C(CC1=CC=CC=C1)C#C,142.20099999999996
247,C=C1CC(=C1)C2=CC=CC=C2,142.20099999999996
248,C1=CC=C(C=C1)C2C=CC=C2,142.20099999999996
249,CC=C(C#C)C1=CC=CC=C1,142.20099999999996
250,C1C=CC1=CC2=CC=CC=C2,142.20099999999996
251,CC(=CC1=CC=CC=C1)C#C,142.20099999999996
252,C=CCC#CC1=CC=CC=C1,142.20099999999996
253,C#CC1(CC1)C2=CC=CC=C2,142.201
254,C=C=CC=CC1=CC=CC=C1,142.201
255,C#CCC=CC1=CC=CC=C1,142.201
256,C#CC1CC1C2=CC=CC=C2,142.201
257,CC=CC#CC1=CC=CC=C1,142.201
258,C1CC1C#CC2=CC=CC=C2,142.201
259,CC#CC=CC1=CC=CC=C1,142.201
260,CC(=CC#C)C1=CC=CC=C1,142.201
261,CC(=C)C#CC1=CC=CC=C1,142.201
262,C#CC=CCC1=CC=CC=C1,142.201
263,CC1=C(C1=C)C2=CC=CC=C2,142.201
264,C1=CC=C(C=C1)OCCl,142.58499999999998
265,CC(=CC1=CC=CC=C1)[N+]#[C-],143.18899999999996
266,[C-]#[N+]C1(CC1)C2=CC=CC=C2,143.189
267,[C-]#[N+]C1CC1C2=CC=CC=C2,143.189
268,[C-]#[N+]CC=CC1=CC=CC=C1,143.189
269,C1=CC=C(C=C1)[PH+]([O-])F,144.08499999999998
270,C1=CC=C(C=C1)OC(F)F,144.11999999999998
271,C#COC=CC1=CC=CC=C1,144.17299999999997
272,C#CC=COC1=CC=CC=C1,144.173
273,C1=CC=C(C=C1)C=CC=[N+]=[N-],144.17699999999996
274,C=C(C=[N+]=[N-])C1=CC=CC=C1,144.177
275,C=C=CN=NC1=CC=CC=C1,144.177
276,CC(=CC1=CC=CC=C1)C=C,144.21699999999996
277,CC(CC1=CC=CC=C1)C#C,144.21699999999996
278,C1CC(=CC2=CC=CC=C2)C1,144.21699999999996
279,CC1C(=C1C2=CC=CC=C2)C,144.21699999999996
280,CC(C)C#CC1=CC=CC=C1,144.21699999999998
281,CC1(C=C1C2=CC=CC=C2)C,144.21699999999998
282,CC1=CC1(C)C2=CC=CC=C2,144.21699999999998
283,C=CC1CC1C2=CC=CC=C2,144.21699999999998
284,C[C+]1C[C-](C1)C2=CC=CC=C2,144.21699999999998
285,CC=C(C=C)C1=CC=CC=C1,144.21699999999998
286,CC=CC=CC1=CC=CC=C1,144.21699999999998
287,C=CC(=C)CC1=CC=CC=C1,144.21699999999998
288,C=C=CCCC1=CC=CC=C1,144.21699999999998
289,CC1C=CC1C2=CC=CC=C2,144.21699999999998
290,CC=CC(=C)C1=CC=CC=C1,144.21699999999998
291,C1CC(C=C1)C2=CC=CC=C2,144.21699999999998
292,CC=C1CC1C2=CC=CC=C2,144.21699999999998
293,CCC1(C=C1)C2=CC=CC=C2,144.21699999999998
294,CCC(C#C)C1=CC=CC=C1,144.21699999999998
295,C=CC(C=C)C1=CC=CC=C1,144.21699999999998
296,C=CC1(CC1)C2=CC=CC=C2,144.21699999999998
